;WT;RIC;EBV_d2;EBV_d4;EBV_d7;EBV_d14
GOBP_CELL_SUBSTRATE_JUNCTION_ORGANIZATION;0;1;0;0;0;0
GOBP_CELL_SURFACE_RECEPTOR_SIGNALING_PATHWAY_INVOLVED_IN_HEART_DEVELOPMENT;0;0;0;0;1;1
GOBP_CELLULAR_ALDEHYDE_METABOLIC_PROCESS;1;1;0;1;1;1
GOBP_CELLULAR_AMINO_ACID_BIOSYNTHETIC_PROCESS;1;0;1;1;1;1
GOBP_CELLULAR_AMINO_ACID_CATABOLIC_PROCESS;0;0;1;1;1;1
GOBP_CELLULAR_AMINO_ACID_METABOLIC_PROCESS;0;0;1;1;1;1
GOBP_CELLULAR_COMPONENT_MAINTENANCE;0;1;0;0;0;0
GOBP_CELLULAR_DEFENSE_RESPONSE;0;1;1;1;1;1
GOBP_CELLULAR_EXTRAVASATION;0;0;0;0;1;1
GOBP_CELLULAR_IRON_ION_HOMEOSTASIS;0;1;0;0;0;0
GOBP_CELLULAR_KETONE_METABOLIC_PROCESS;0;0;1;1;1;1
GOBP_CELLULAR_LIPID_CATABOLIC_PROCESS;0;0;1;1;1;1
GOBP_CELLULAR_MODIFIED_AMINO_ACID_BIOSYNTHETIC_PROCESS;0;1;1;1;1;1
GOBP_CELLULAR_MODIFIED_AMINO_ACID_METABOLIC_PROCESS;0;1;1;1;1;1
GOBP_CELLULAR_NITROGEN_COMPOUND_CATABOLIC_PROCESS;0;0;1;1;1;1
GOBP_CELLULAR_OXIDANT_DETOXIFICATION;1;1;1;1;1;1
GOBP_CELLULAR_PIGMENTATION;0;1;0;0;0;0
GOBP_CELLULAR_PROCESS_INVOLVED_IN_REPRODUCTION_IN_MULTICELLULAR_ORGANISM;0;1;0;0;0;0
GOBP_CELLULAR_RESPIRATION;1;1;1;1;1;1
GOBP_CELLULAR_RESPONSE_TO_ABIOTIC_STIMULUS;0;1;0;0;0;0
GOBP_CELLULAR_RESPONSE_TO_ACID_CHEMICAL;1;1;0;0;0;0
GOBP_CELLULAR_RESPONSE_TO_ALCOHOL;0;1;0;0;0;0
GOBP_CELLULAR_RESPONSE_TO_ALKALOID;0;1;0;1;0;0
GOBP_CELLULAR_RESPONSE_TO_ATP;0;0;0;1;0;0
GOBP_CELLULAR_RESPONSE_TO_BIOTIC_STIMULUS;0;0;1;1;1;1
GOBP_CELLULAR_RESPONSE_TO_CAMP;0;1;0;0;0;0
GOBP_CELLULAR_RESPONSE_TO_CARBOHYDRATE_STIMULUS;0;1;0;0;0;0
GOBP_CELLULAR_RESPONSE_TO_CHEMICAL_STRESS;0;1;0;0;0;1
GOBP_CELLULAR_RESPONSE_TO_COPPER_ION;0;0;1;1;0;0
GOBP_CELLULAR_RESPONSE_TO_DSRNA;0;0;1;1;0;1
GOBP_CELLULAR_RESPONSE_TO_EXOGENOUS_DSRNA;0;0;1;1;0;1
GOBP_CELLULAR_RESPONSE_TO_FATTY_ACID;1;1;1;0;0;0
GOBP_CELLULAR_RESPONSE_TO_GAMMA_RADIATION;1;1;0;0;0;0
GOBP_CELLULAR_RESPONSE_TO_GONADOTROPIN_STIMULUS;0;0;1;0;1;1
GOBP_CELLULAR_RESPONSE_TO_HEAT;1;0;0;0;0;0
GOBP_CELLULAR_RESPONSE_TO_HYDROGEN_PEROXIDE;0;1;0;0;0;0
GOBP_CELLULAR_RESPONSE_TO_INORGANIC_SUBSTANCE;0;1;0;0;0;0
GOBP_CELLULAR_RESPONSE_TO_INTERFERON_BETA;0;0;1;1;1;1
GOBP_CELLULAR_RESPONSE_TO_INTERFERON_GAMMA;1;0;1;1;1;1
GOBP_CELLULAR_RESPONSE_TO_INTERLEUKIN_1;1;0;0;0;1;1
GOBP_CELLULAR_RESPONSE_TO_IONIZING_RADIATION;1;1;0;0;0;0
GOBP_CELLULAR_RESPONSE_TO_LIPID;1;1;0;0;0;0
GOBP_CELLULAR_RESPONSE_TO_LIPOPROTEIN_PARTICLE_STIMULUS;0;1;0;0;0;0
GOBP_CELLULAR_RESPONSE_TO_MOLECULE_OF_BACTERIAL_ORIGIN;1;0;1;1;1;1
GOBP_CELLULAR_RESPONSE_TO_NITROGEN_COMPOUND;0;1;0;0;0;0
GOBP_CELLULAR_RESPONSE_TO_NUTRIENT;1;1;0;0;0;0
GOBP_CELLULAR_RESPONSE_TO_ORGANIC_CYCLIC_COMPOUND;1;1;0;0;0;0
GOBP_CELLULAR_RESPONSE_TO_OXYGEN_LEVELS;1;1;0;0;0;0
GOBP_CELLULAR_RESPONSE_TO_OXYGEN_RADICAL;0;0;0;0;1;1
GOBP_CELLULAR_RESPONSE_TO_RADIATION;0;1;0;0;0;0
GOBP_CELLULAR_RESPONSE_TO_REACTIVE_NITROGEN_SPECIES;0;0;1;1;0;1
GOBP_CELLULAR_RESPONSE_TO_TOXIC_SUBSTANCE;1;1;1;1;1;1
GOBP_CELLULAR_RESPONSE_TO_VASCULAR_ENDOTHELIAL_GROWTH_FACTOR_STIMULUS;0;1;0;0;0;0
GOBP_CELLULAR_RESPONSE_TO_VIRUS;0;0;1;1;1;1
GOBP_CELLULAR_RESPONSE_TO_XENOBIOTIC_STIMULUS;0;1;0;0;0;0
GOBP_CELLULAR_RESPONSE_TO_ZINC_ION;0;0;1;1;1;1
GOBP_CELLULAR_SODIUM_ION_HOMEOSTASIS;0;0;0;0;0;1
GOBP_CELLULAR_TRANSITION_METAL_ION_HOMEOSTASIS;0;1;1;0;1;1
GOBP_CENTRAL_NERVOUS_SYSTEM_NEURON_AXONOGENESIS;1;1;0;0;0;0
GOBP_CENTRAL_NERVOUS_SYSTEM_NEURON_DEVELOPMENT;0;1;0;0;0;0
GOBP_CENTRAL_NERVOUS_SYSTEM_NEURON_DIFFERENTIATION;0;1;0;0;0;0
GOBP_CENTROMERE_COMPLEX_ASSEMBLY;1;1;1;1;1;1
GOBP_CENTROSOME_DUPLICATION;0;0;1;1;0;0
GOBP_CENTROSOME_SEPARATION;0;0;0;1;0;0
GOBP_CERAMIDE_CATABOLIC_PROCESS;0;0;1;1;1;1
GOBP_CEREBRAL_CORTEX_CELL_MIGRATION;0;1;0;0;0;0
GOBP_CEREBRAL_CORTEX_RADIALLY_ORIENTED_CELL_MIGRATION;1;1;0;0;0;0
GOBP_CHAPERONE_COFACTOR_DEPENDENT_PROTEIN_REFOLDING;1;0;0;0;0;0
GOBP_CHAPERONE_MEDIATED_PROTEIN_COMPLEX_ASSEMBLY;1;0;1;1;0;1
GOBP_CHAPERONE_MEDIATED_PROTEIN_FOLDING;1;0;1;1;0;0
GOBP_CHEMICAL_HOMEOSTASIS_WITHIN_A_TISSUE;0;0;1;1;1;1
GOBP_CHEMOKINE_PRODUCTION;0;1;0;0;0;1
GOBP_CHOLESTEROL_EFFLUX;1;1;0;0;0;0
GOBP_CHOLESTEROL_STORAGE;0;1;0;0;0;0
GOBP_CHONDROITIN_SULFATE_PROTEOGLYCAN_METABOLIC_PROCESS;0;1;0;0;0;0
GOBP_CHROMATIN_DISASSEMBLY;0;0;1;0;0;0
GOBP_CHROMOSOME_CONDENSATION;1;1;1;1;1;1
GOBP_CHROMOSOME_LOCALIZATION;1;1;1;1;1;1
GOBP_CHROMOSOME_ORGANIZATION_INVOLVED_IN_MEIOTIC_CELL_CYCLE;1;1;1;0;0;0
GOBP_CHROMOSOME_SEGREGATION;1;1;1;1;1;1
GOBP_CHROMOSOME_SEPARATION;1;1;1;1;1;1
GOBP_CHRONIC_INFLAMMATORY_RESPONSE;0;0;1;1;1;1
GOBP_CIRCADIAN_RHYTHM;0;1;0;0;0;0
GOBP_CIRCULATORY_SYSTEM_PROCESS;0;1;0;0;0;0
GOBP_CLEAVAGE_INVOLVED_IN_RRNA_PROCESSING;0;0;1;1;1;1
GOBP_COENZYME_A_METABOLIC_PROCESS;0;0;1;1;1;1
GOBP_COGNITION;0;1;0;0;0;0
GOBP_COLLAGEN_CATABOLIC_PROCESS;0;1;0;0;0;0
GOBP_COMPLEMENT_ACTIVATION;0;1;0;0;0;1
GOBP_CONNECTIVE_TISSUE_DEVELOPMENT;0;1;0;0;0;0
GOBP_CONVERGENT_EXTENSION;0;0;0;0;1;1
GOBP_COPII_COATED_VESICLE_BUDDING;0;0;0;0;0;1
GOBP_CORONARY_VASCULATURE_DEVELOPMENT;0;1;0;0;0;0
GOBP_CORONARY_VASCULATURE_MORPHOGENESIS;0;0;0;0;1;1
GOBP_CORTICAL_ACTIN_CYTOSKELETON_ORGANIZATION;0;0;0;0;1;1
